index,ordinate,Z_at_root,abs_zeta,sign_left,sign_right,smooth_N,index_minus_smooth
1,14.134725141735,1.042323e-15,1.268168e-15,-1,1,0.449277873,0.550722127
2,21.022039638772,7.316417e-16,2.429039e-15,1,-1,1.569895690,0.430104310
3,25.010857580146,-2.454851e-14,2.561158e-14,-1,1,2.393332686,0.606667314
4,30.424876125860,-4.713067e-16,5.194719e-16,1,-1,3.670846475,0.329153525
5,32.935061587739,-9.514144e-15,9.564974e-15,-1,1,4.317069649,0.682930351
6,37.586178158826,-3.567869e-14,3.588344e-14,1,-1,5.593378762,0.406621238
7,40.918719012147,-6.054816e-14,6.055275e-14,-1,1,6.564967038,0.435032962
8,43.327073280915,7.965657e-15,1.916448e-14,1,-1,7.294228067,0.705771933
9,48.005150881167,-1.174025e-13,1.234723e-13,-1,1,8.770680391,0.229319609
10,49.773832477672,-7.082595e-16,4.025289e-13,1,-1,9.348203032,0.651796968
